name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Andross Glow Pirate,sep_glow_pir_andross,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Fearless Deco,sep_fearless_deco_r,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,sep_wingsweep,,,,,,,,,,,,,,
Fearless Deco,sep_fearless_deco_l,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,sep_wingsweep,,,,,,,,,,,,,,
Cryo Vent Deco,drg_cryovent_deco,,,,100,,0,0,0,5,0,,,,ENERGY,0,,0.1,0,1,,0,0,0,0,,500,,,1,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,
Boltzman Deco,drg_boltzman_deco,,,,0,,,,,,,,,,,,,1.25,3,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Entropic Deco,drg_entropic_deco,,,,0,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Interdictor Deco,sep_interdictor_deco,,,,0,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Entangled Sparks,drg_entangled_spark,,,,1000,,0,10,,60,0,,,,ENERGY,0,,0,0,1,,30,30,,,,750,750,3,1,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,
Seraph Deco,drg_seraphmain_deco,,,,0,,,,,,,,,,,,,5.65,5,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#stockrefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Launcher Sep,sep_flare_bomber,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.1,5,0.4,60,60,0,0,,150,300,3,1,,,SYSTEM,,,,,,,,,,,,,,,
Flare Launcher Sep,sep_flare_ship,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.1,10,0.4,60,60,0,0,,150,300,3,1,,,SYSTEM,,,,,,,,,,,,,,,
Atropos-class Torpedo Rack (Hidden),atropos_hidden,2,0.5,,1200,,1000,,40,10,0,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,400,150,4,300,,,"GUIDED_POOR,SYSTEM","strike9, missile1,reload_3pt,no_sell, no_drop, no_drop_salvage",,,,Torpedo,Fast,Good,,,,,,,TRUE,
Harpoon MRM (Hidden),harpoon_hidden,1,,,2500,,750,,15,30,0,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,300,100,12.5,150,,,"DO_NOT_AIM,SYSTEM","missile8, strike3,no_sell, no_drop, no_drop_salvage",,,,Finisher,Medium,Medium,,,,,,,TRUE,
Command Dish,sep_command_dish,0,,,2000,1,,,0,200,0,1000,1000,,ENERGY,,0,0.4,0.4,0.2,0,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,
Immolator (Fighter),drg_immolator_fighter,5,,,600,4000,,,,20,0,1,,,ENERGY,0,0,0,0.75,0.25,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS, STRIKE","fires_one_burst, show_in_codex",,,,Special,,,,,,,,,TRUE,
Targeting Laser - Double Green Continuous,sep_targetinglaser,0,,,0,100,,,0,200,0,,,,ENERGY,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,
