id,trigger,conditions,script,text,options,notes
duskBSMBadStation4,DialogOptionSelected,$option == duskBSMBadStation4,"$destroy = true 0
FireAll duskBSMBadStationOptions","""Certainly, captain. I will not hold it against you, this entity holds no value to me anymore. None the less, every weapon on the station will be arrayed against you of course."" The machine flashes it's... teeth?

""After all $PlayerName, you came here for a reward-{challenge}-[FUN TIME], right?""",,
duskBSMBadStation5,DialogOptionSelected,$option == duskBSMBadStation5,"$people = true 0
FireAll duskBSMBadStationOptions","""Dead, I'm afraid."" It's voice completely flat, ""such actions were necessary.""

The screen intensifies in brightness, ""not that you truly cared, after all they never met-{loved}-[EXISTED TO] you."" The image wavers.",,
duskBSMBadStation6,DialogOptionSelected,$option == duskBSMBadStation6,,"""Now then, shall we?""

INTERRUPT

"" -not cleared your vessel for approach and will employ Dusk Research Group Compliance Product(s) [NULL ARRAY] to remove violating traffic. The Dusk Research Group thanks you for your [understanding/compliance/submission].""",duskBSMBadStationEnd:Continue,
duskBSMBadStationEnd,DialogOptionSelected,$option == duskBSMBadStationEnd,"ShowDefaultVisual
ResumeNormalMusic
$entity.ignorePlayerCommRequests = true
EndConversation NO_CONTINUE
FireBest OpenInteractionDialog",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
speedwell_wreckDetailsFirstTime,ShowSalvageEntityDetails,"$customType == wreck
$speedwellWreck score:1000
!$encountered","ShowDefaultVisual
$encountered = true","The vessel floats almost peacefully in space, as though unaware of its circumstance. Scans show power is at very low idle, and it sits in a stable orbit. Just as though the previous owners had merely stepped away for a moment.",,
speedwell_wreckDetails,ShowSalvageEntityDetails,"$customType == wreck
$speedwellWreck score:1000",ShowDefaultVisual,"The vacant flagship drifts, it's reactor silently humming on em-bands, waiting to be awakened from its slumber.",,
speedwell_exploredAlready,CheckSalvageSpecial,"$salvageSpecialData != null
$customType == wreck
$speedwellWreck score:1000",SalvageSpecialInteraction,,,
speedwell_exploreFirstTime,CheckSalvageSpecial,"$salvageSpecialData != null
$customType == wreck
$speedwellWreck score:1000
!$explored","$explored = true
$global.foundSpeedwell = true","Your sensors officer begins a preliminary high-power scan of the large ship as your operations chief preps salvor teams.

""$PlayerSirOrMadam, this is not in the current database."" A brief pause, then quieter, ""Maybe it's in..."" a detailed false-color scan appears on the primary display.

A different crewmember, one who once served in the Persean Separatist militia, exclaims, ""The Speedwell!"" 

Not long after, Sensors confirms the crewman’s assertion, it is indeed the Speedwell.","speedwell_continue0:""The Speedwell?""
speedwell_continue1b:""Ops, prep the teams.""",
speedwell_explore0,DialogOptionSelected,$option == speedwell_continue0,,"Once long lost and thought to be destroyed, it now sits before you. The significance lost on you, the one time Separatist proudly explains the vessels mythos:

The Speedwell is, or rather was, the personal flagship of the founder and first leader of the Separatists. Referred to as the 'General' in current cycle, many particular details of his person have apparently been obscured through time, resulting in the General becoming more a mythological character than a concrete person.

None the less, you gather he was not unlike yourself, ambitious, effective, and capable of great feats of command seemingly through will alone.",speedwell_continue1:Continue,
speedwell_explore1,DialogOptionSelected,$option == speedwell_continue1,,"Obscure lore aside, the Speedwell itself served both as a formidable command vessel, and even more importantly a symbol of Separatist independence. Its loss coincided with the stagnation of the Separatist movement, ending with their current position in the sector today.

Your ops chief, annoyed with the explanation causing delay, coughs loudly and looks to you for confirmation. Words are unneeded, the question is clear: send in the salvors?","speedwell_continue1b:""Proceed.""",
speedwell_explore1b,DialogOptionSelected,$option == speedwell_continue1b,ShowImageVisual cache_large,"Ops nods, then turns to bark commands on the salvors' command frequency.

Junior officers scurry to cajole crew prepping cargo-handling drones while Sensors puts one analysis team on careful outward watch and another on the hulk to ensure there are no surprises.   

Within short minutes, the first salvors dock their open-vacuum shuttle frames and utility drones at various entry points identified along the vessel's massive hull.

Ops gives the go-order.",speedwell_continue2:Continue,
speedwell_explore2,DialogOptionSelected,$option == speedwell_continue2,ShowImageVisual salvor_explore_hull,"In short order, salvage crews enter into the Speedwell, and begin spreading throughout the hull.

The process is surprisingly fast, far faster than typical ops of this size.

Reports begin flowing in, offering explanation to this anomaly.",speedwell_continue3:Continue,
speedwell_explore3,DialogOptionSelected,$option == speedwell_continue3,,"The hull, though battered and somewhat degraded, is in acceptable operational condition, certainly no worse than any independent expedition fleet.The reactor and even the power runs are fully functional.

Plasma torches and pry bars hang on their belt hooks, unused, as your crew's passage through the hulk is simple as walking through doors.

Even the flight deck, which has sustained the worst damage, remains in a serviceable state despite being pockmarked by meteoroid impacts.",speedwell_continue4:Continue,
speedwell_explore4,DialogOptionSelected,$option == speedwell_continue4,,"Ops continues to enforce their typical strict protocol, though it is obvious that the salvors have relaxed somewhat after realizing the ship is not on the verge of spontaneous detonation.

The air of calm sharply declines as they make their way into the crew quarters. It becomes quickly apparent that there is not a single sign of life, and not in the usual sense either. The deck is entirely devoid of evidence from the previous crew.",speedwell_continue4b:Continue,
speedwell_explore4b,DialogOptionSelected,$option == speedwell_continue4b,,"There is no debris in the corridors, no personal belongings in the bunks, not even a single dead spacer in a busted vac-suit slumped in a corner. 

Nothing. 

It looks like it just came off a nanoforge line, ready to be christened.",speedwell_continue5:Continue,
speedwell_explore5,DialogOptionSelected,$option == speedwell_continue5,,"The systems logs are empty as well. Not even junk data left in the gaps of deleted files. Just endless streams of neat zeros.

Whatever secrets of past the Speedwell held, it seems they vanished along with the crew.

The work continues apace, albeit with more caution and the occasional mutterings of a salvor ritual to guard against the unknown.

None the less, it soon comes to an end.",speedwell_continue6:Continue,
speedwell_explore6,DialogOptionSelected,$option == speedwell_continue6,SalvageSpecialInteraction,"""$PlayerSirOrMadam,"" the chief barks, ""report is ready for you.""

You nod, and take the datapad from them.",,
,,,,,,
fenarMirrorOpenDialog,OpenInteractionDialog,"$tag:stellar_mirror
$planetFenarMirror score:10","ShowDefaultVisual
SetShortcut stellarMirrorLeave ""ESCAPE""","An ultra-light orbital mirror array used to reflect and concentrate solar energy. Stellar mirrors are a common terraforming tool and the art of their use was brought to apogee by the Eridani-Utopia Terraforming corporation during the golden age of the Domain's expansion phase.

These mirrors have strangely been configured to concentrate the scant galactic light into a narrow beam heading to the planet below. At best it would transform the extreme dark into something approximating a moonlit night, and only for a very small region on the planet.

Still, someone went through the trouble to configure the mirrors in this manner, desperate measures perhaps.",stellarMirrorLeave:Leave,
fenarMirrorKnownOpenDialog,OpenInteractionDialog,"$tag:stellar_mirror
$planetFenarMirror score:10
$global.hasMetFenar score:10","ShowDefaultVisual
SetShortcut stellarMirrorLeave ""ESCAPE""","An ultra-light orbital mirror array used to reflect and concentrate solar energy. Stellar mirrors are a common terraforming tool and the art of their use was brought to apogee by the Eridani-Utopia Terraforming corporation during the golden age of the Domain's expansion phase.

These mirrors have strangely been configured to concentrate the scant galactic light into a narrow beam heading to the planet below. At best it would transform the extreme dark into something approximating a moonlit night, and only for a very small region on the planet.

Still, the Fenarans did what they could to survive in their desperate times.",stellarMirrorLeave:Leave,
fenarPlanetFirstTimeSurv1,DialogOptionSelected,"$option == surveyPerform
$planetFenar score:10
!$market.isSurveyed",$hasVisited = true,"Your $shipOrFleet enters low orbit around $entityName. The crew begin their usual preparations for a survey mission when your sensors officer speaks.

""Captain, I'm reading a radiation spike from a, uh..."" a number of taps on their console. ""A structure on the planet, EM signature is consistent with an active fission reactor.""","fenarPlanetFirstTime1:""Implications?""",
fenarPlanetFirstTimeSurv2,DialogOptionSelected,"$option == surveyPerform
$planetFenar score:10
$global.metPlanetFenarDRGRep score:10",$hasVisited = true,"Your $shipOrFleet enters low orbit around $entityName. Could this be the lost planet you were told about? The crew begin their usual preparations for a survey mission when your sensors officer speaks.

""Captain, I'm reading a radiation spike from a, uh..."" a number of taps on their console. ""A structure on the planet, EM signature is consistent with an active fission reactor.""","fenarPlanetFirstTime1:""Implications?""",
fenarPlanetFirstTimeA,OpenInteractionDialog,"$planetFenar score:10
$market.isSurveyed","ShowDefaultVisual
$hasVisited = true","Your $shipOrFleet enters low orbit around $entityName. The crew begin their usual preparations for a survey mission when your sensors officer speaks.

""Captain, I'm reading a radiation spike from a, uh..."" a number of taps on their console. ""A structure on the planet, EM signature is consistent with an active fission reactor.""","fenarPlanetFirstTime1:""Implications?""",
fenarPlanetFirstTimeB,OpenInteractionDialog,"$planetFenar score:10
$global.metPlanetFenarDRGRep score:10
$market.isSurveyed","ShowDefaultVisual
$hasVisited = true","Your $shipOrFleet enters low orbit around $entityName. Could this be the lost planet you were told about? The crew begin their usual preparations for a survey mission when your sensors officer speaks.

""Captain, I'm reading a radiation spike from a, uh..."" a number of taps on their console. ""A structure on the planet, EM signature is consistent with an active fission reactor.""","fenarPlanetFirstTime1:""Implications?""",
fenarPlanetFirstTimeC,OpenInteractionDialog,"$planetFenar score:10
$hasVisited score:100","ShowDefaultVisual
SetShortcut fenarPlanetFirstTImeQLeave ""ESCAPE""","Your $shipOrFleet enters low orbit around $entityName. The mysterious structure is still down there, radiation emanating from the fission reactor.","fenarPlanetFirstTime2:""Ops, prep a team.""
fenarPlanetFirstTimeQLeave:Leave",
fenarPlanetFirstTimeQLeave,DialogOptionSelected,$option == fenarPlanetFirstTimeQLeave,DismissDialog,,,
fenarPlanetFirstTime1,DialogOptionSelected,$option == fenarPlanetFirstTime1,"SetShortcut fenarPlanetFirstTImeQLeave ""ESCAPE""","""Well I'd normally say it would be a sign of someone down there, but,"" they glance out a bridge window into the sunless void. ""Seems unlikely here. Still, might be worth a closer look before a general survey.""","fenarPlanetFirstTime2:""Ops, prep a team.""
fenarPlanetFirstTimeQLeave:Leave",
fenarPlanetFirstTime2,DialogOptionSelected,$option == fenarPlanetFirstTime2,,Operations ,,
,,,,,,
,,,,,,
fenarLonerEventDev,PopulateSalvageOptions2,"$global.isDevMode
$global.FenaransGened
!$global.exploredStationFenarLoner
!$global.fenarPlanetDone
$customType == station_research_remnant
",SetOptionColor fenarLonerEventDev1 gray,,100:fenarLonerEventDev1:>> (dev) Force Fenar loner event,
fenarLonerEventDev1,DialogOptionSelected,$option == fenarLonerEventDev1,"ShowImageVisual salvor_explore_hull
PlayCustomMusic music_encounter_mysterious","Salvor teams breach the safety clamps and cut through locked blast doors, making their ingress. The station is mostly empty and many of the escape pod bays are vacant, having done their task long ago.

Further in the story changes. Blasted walls, burned conduits, and the occasional corpse mark the remnants of combat.

Not an unusual occurrence, for a station to be attacked by raiders. This would be the sensible conclusion, until one team makes a canny observation.

Most, if not all, the fire was directed outward, emanating from the center of the station.","1:fenarLonerEvent1:""Any sign of what happened?""
2:fenarLonerEvent1b:""A rebellion?""",
fenarLonerEvent,DialogOptionSelected,"$option == salExplore
$tag:salvageable
$customType == station_research_remnant
!$hasDefenders
!$defenderFleetDefeated
$salvageSpecialData == null
!$didSpecialExploreStory
!$nex_randomSector
$global.FenaransGened
!$global.exploredStationFenarLoner score:10
!$global.fenarPlanetDone
RollProbability 0.1","ShowImageVisual salvor_explore_hull
PlayCustomMusic music_encounter_mysterious","Salvor teams breach the safety clamps and cut through locked blast doors, making their ingress. The station is fairly empty, and many of the escape pod bays are vacant, having done their task long ago.

Further in the story changes. Blasted walls, burned conduits, and the occasional corpse mark the remnants of combat.

Not an unusual occurrence for a station to be attacked by raiders. That would be the sensible conclusion, until one team makes a canny observation.

Most, if not all, the fire was directed outward, emanating from the center of the station.","1:fenarLonerEvent1:""Any sign of what happened?""
2:fenarLonerEvent1b:""A rebellion?""",
fenarLonerEventUnq,DialogOptionSelected,"$option == salExplore
$tag:salvageable
$customType == station_research_remnant
!$hasDefenders
!$defenderFleetDefeated
$salvageSpecialData == null
!$didSpecialExploreStory
!$nex_randomSector
$global.FenaransGened
!$global.exploredStationFenarLoner score:10
!$global.fenarPlanetDone
$con_fenar_station score:100","ShowImageVisual salvor_explore_hull
PlayCustomMusic music_encounter_mysterious",,,
fenarLonerEvent1,DialogOptionSelected,$option == fenarLonerEvent1,,"Your tech officer shakes their head, showing characteristic frustration at having their curiosity unfulfilled.

No relevant monitoring or computer system retained its data integrity, indeed they were likely purged on purpose.

A sudden commotion over comms draws the attention of everyone on the bridge. Ops starts yelling orders to regain control of the situation, while another officer starts flipping through cam-feeds to find the source of excitement.

",fenarLonerEvent2:Continue,
fenarLonerEvent1b,DialogOptionSelected,$option == fenarLonerEvent1b,,"Your tech officer shakes their head in uncertainty, showing characteristic frustration at having their curiosity unfulfilled.

No relevant monitoring or computer system retained its data integrity, indeed they were likely purged on purpose.

A sudden commotion over comms draws the attention of everyone on the bridge. Ops starts yelling orders to regain control of the situation, while another officer starts flipping through cam-feeds to find the source of excitement.

",fenarLonerEvent2:Continue,
fenarLonerEvent2,DialogOptionSelected,$option == fenarLonerEvent2,"ShowPic salvagedeadfenar
PlaySound sep_suspense_stinger01
FireAll fenarLonerEventSwitch","An image appears on-screen, and the whole bridge goes silent. Even Operations, typically unflappable, halts their regimental shouting.

Lying in a corner surrounded by debris, in a damaged vac-suit, is a dead body unlike any other in the Sector.",,
fenarLonerEventSwitcha,fenarLonerEventSwitch,$player.luddicAttitudeFaithfulOrPather,,,"fenarLonerEvent3:""Ludd have mercy...""",
fenarLonerEventSwitchb,fenarLonerEventSwitch,,,,"fenarLonerEvent3:""An alien...""",
fenarLonerEvent3,DialogOptionSelected,$option == fenarLonerEvent3,,"An alien.

Not the lower kind one might find out there on a habitable world, but a walking, talking, vac-suit wearing alien. Or at least, this one was once walking and talking, before being burned through by blaster fire.",fenarLonerEvent4:Continue,
fenarLonerEvent4,DialogOptionSelected,$option == fenarLonerEvent4,ShowDefaultVisual,"It isn't long before the body is transferred to the med-bay and the CMO begins an autopsy, while you watch from the observation gallery.

An entire gamut of examinations are performed, and though your fleet lacks the facilities necessary to analyze more esoteric details, a conclusion is soon reached.",fenarLonerEvent5:Continue,
fenarLonerEvent5,DialogOptionSelected,$option == fenarLonerEvent5,,"This creature is shockingly 'normal' for an alien life form. Nominal brain size, limb function, immune system, and even vocal chord structure are within human approximation.

In fact, it would likely be able to live alongside humans without much issue, in terms of life-support at least. The happenings on the station suggest whatever it was, it didn't like people very much.",fenarLonerEvent6:Continue,
fenarLonerEvent6,DialogOptionSelected,$option == fenarLonerEvent6,,"These revelations further bring an eerie air to the corpse, making it as though a man, once familiar, had been cut apart and reassembled into a freakish skin suit, or furred suit in this case.",fenarLonerEvent7:Continue,
fenarLonerEvent7a,DialogOptionSelected,$option == fenarLonerEvent7,,"Your admin staff are already taking action to prevent information leaks, though rumors are bound to spread eventually.

More pressing is the question of how to proceed, as it's hard to imagine whom, if anyone, has knowledge on this matter.

Suddenly a crewman appears at your side, ""$PlayerSirOrMadam."" They hand you a Tripad.

""Salvage teams have finished their prelim', ready to begin transfers on your order.""","fenarLonerEventOut:""I'll review the report.""",
fenarLonerEvent7b,DialogOptionSelected,$option == fenarLonerEvent7,,"Your admin staff are already taking action to prevent information leaks, though rumors are bound to spread eventually.

Perhaps a more pressing issue though is what exactly was happening on this station.

Suddenly a crewman appears at your side, ""$PlayerSirOrMadam!"" They hand you a TriPad.

""Salvage teams have finished their prelim', ready to begin transfers on your order.""","fenarLonerEventOut:""I'll review the report.""",
fenarLonerEventOut,DialogOptionSelected,$option == fenarLonerEventOut,"$global.exploredStationFenarLoner = true
$didSpecialExploreStory = true
ResumeNormalMusic
SepFenarPlanetMissionCMD
FireBest BeginSalvage",,,
,,,,,,
naniteSearchCorpoEvent,DialogOptionSelected,"$option == marketVisitBar
PlayerHasCargo contractor_bioarmor
!$player.hasNaniteCommission
$faction.id == contractor_duskgroup
$hasMarket
RepGTE contractor_duskgroup NEUTRAL","FireBest BarShuttleDownPrintDesc
FireBest BarPrintDesc
BeginConversation duskFactionLeader
$option = fenarSearchCorpoEvent0 0
FireBest DialogOptionSelected",,,
naniteSearchCorpoEvent0,DialogOptionSelected,"$option == naniteSearchCorpoEvent0
",FireAll PopulateFSCEOptions,"Before getting far, two heretofore unseen men wearing light armor walk up from behind you and place themselves at your flanks, nearly bumping your shoulders. Moments later, another two blend out of the crowded bar, coming to a stop in front of you.

Each of the four glance around briefly, then nod. Another individual steps forward, wearing a Dusk Research Group uniform and a very fine one at that.",,
naniteSearchCorpoEvent0b,DialogOptionSelected,"$option == naniteSearchCorpoEvent0
$snubbedByPlayer",FireAll PopulateFSCEOptions,"Before getting far, four guards wearing medium armor quickly surround you, blocking any path to escape. You're certain you recognize at least one mans face.

Each of the four glance around briefly, then nod. Another individual steps forward, wearing a Dusk Research Group uniform and a very fine one at that.",,
naniteSearchCorpoEventPopA,PopulateFSCEOptions,!$player.metDuskFactionLead,,,"naniteSearchCorpoEvent1a:Continue
",
naniteSearchCorpoEventPopB,PopulateFSCEOptions,$player.metDuskFactionLead,,,"naniteSearchCorpoEvent1:""Hello Director Stancliff.""
",
naniteSearchCorpoEvent1,DialogOptionSelected,"$option == naniteSearchCorpoEvent1
",FireBest FSCESwitch1,,,
naniteSearchCorpoEvent1a,DialogOptionSelected,"$option == naniteSearchCorpoEvent1a
","ShowPersonVisual true duskFactionLeader
$player.metDuskFactionLead = true","""Captain $playerName,"" $heOrShe says, ""I would like discuss something with you, please come with me."" The well dressed $manOrWoman begins walking out of the bar.

No doubt your own security standby with their silenced pistols at the ready, though the henchman pressuring you likely can shrug off such fire, seeing as they're armored.

Not to mention this is no amateur outfit. You might be able to start a fight, but ending would prove a whole other matter.","naniteSearchCorpoEvent4:Follow him
naniteSearchCorpoEvent2b:""I don't take orders from strangers.""",
naniteSearchCorpoEvent1b,FSCESwitch1,"
",ShowPersonVisual true duskFactionLeader,"""Captain $playerName! How fortuitous to see you here,"" $heOrShe exclaims, a reserved smile crossing $hisOrHer face.

""I hope you were not too unnerved by my guards, security is paramount after all.""","naniteSearchCorpoEvent2a:""My own guards would agree.""
naniteSearchCorpoEvent3:""I presume you need something from me.""
",
naniteSearchCorpoEvent1c,FSCESwitch1,$snubbedByPlayer,ShowPersonVisual true duskFactionLeader,"""Captain $playerName..."" $heOrShe looks mildly disappointed, ""How, hmm, fortunate to see you here.""

""I hope you are not planning to assault my guards again, it would be rather displeasing.""","naniteSearchCorpoEvent2c:""What did you expect, threatening a spacer captain...""
naniteSearchCorpoEvent3c:""I presume you need something from me.""",
naniteSearchCorpoEvent2a,DialogOptionSelected,"$option == naniteSearchCorpoEvent2a
",,"""Ah yes,"" $personName chuckles lightly, ""I expected someone like yourself to never travel alone.""

$HeOrShe points a wagging finger in the direction of one of your men, ""Though when operating in these circles, it would be wise to carry more than lowly cap guns. We are not Luddics, after all.""","naniteSearchCorpoEvent3:""So you have business with me, or just making a social call?""",
naniteSearchCorpoEvent2b,DialogOptionSelected,"$option == naniteSearchCorpoEvent2b
",AdjustRepActivePerson -1,"$HeOrShe turns sharply back to you, frowning, ""I am Director Stancliff..."" The words hang for a moment.

""And my time is very valuable, please do not waste any more of it.""

$HeOrShe looks at you expectantly, while $hisOrHer guards stand inches away from you, though you are left untouched.","naniteSearchCorpoEvent4:Follow him
naniteSearchCorpoEventLeave:Follow him, and bail at the exit",
naniteSearchCorpoEvent2c,DialogOptionSelected,$option == naniteSearchCorpoEvent2c,,"$PersonName points at you, ""I expect visitors to MY station to be well behaved for a start.""

The director adjusts his suit collar, ""Now then, please come with me, and without causing a fuss. I need to discuss a matter regarding the...""

$HeOrShe drops his voice, ""unique, cargo you have aboard your $playerShipOrFleet.""",naniteSearchCorpoEvent4:Follow him,
naniteSearchCorpoEvent3a,DialogOptionSelected,"$option == naniteSearchCorpoEvent3
",,"""Now then,"" the director adjusts his suit for a moment.

""There is an important matter we need to discuss regarding the unique cargo you have aboard your $playerShipOrFleet.""

The well dressed $manOrWoman begins walking out of the bar, ""please follow me, captain.""",naniteSearchCorpoEvent4:Follow him,
naniteSearchCorpoEvent3b,DialogOptionSelected,"$option == naniteSearchCorpoEvent3
RepGTE contractor_duskgroup FAVORABLE
",,,"naniteSearchCorpoEvent3bCont:Accept the drink
naniteSearchCorpoEvent3bCont:Decline",
naniteSearchCorpoEvent3bCont,DialogOptionSelected,$option == naniteSearchCorpoEvent3Cont,,"""Now then,"" the director adjusts his suit for a moment.

""There is an important matter we need to discuss regarding the unique cargo you have aboard your $playerShipOrFleet.""

The well dressed $manOrWoman begins walking out of the bar, ""please follow me, captain.""",,
naniteSearchCorpoEvent3c,DialogOptionSelected,"$option == naniteSearchCorpoEvent3c
",,,,
naniteSearchCorpoEventLeave,DialogOptionSelected,"$option == naniteSearchCorpoEventLeave
","AdjustRepActivePerson -1
HideFirstPerson
$snubbedByPlayer = true
EndConversation DO_NOT_FIRE","You pretend to follow the Director until you're steps away from the door, when someone (who happens to be on your crew list) trips and cracks a large glass of alcohol in the face of the guard on your left.

A commotion quickly ensues, and leaves a convenient opening for you to break away to your shuttle.",naniteSearchCorpoEventLeave2:Continue,
naniteSearchCorpoEventLeave2,DialogOptionSelected,$option == naniteSearchCorpoEventLeave2,"$market.noBar = true 1
$global.metPlanetFenarDRGRep = true
FireBest ReturnFromBar
",,,
naniteSearchCorpoEvent4,DialogOptionSelected,"$option == naniteSearchCorpoEvent4
",,,,
,,,,,,
sepSalvorBarEvent,AddBarEvents,"$option == marketVisitBar
$global.daysSinceStart > 90
!$global.sepSavlorQuest
$faction.id == contractor_separatists
$hasMarket
RepGTE contractor_separatists SUSPICIOUS
RollProbability 0.4","AddBarEvent sepSalvorBarEventTrig ""Approach the grounder woman"" ""A woman wearing distinctly grounder clothes is badgering any spacer that happens near. There is an air of distress about her.""",,,
sepSalvorBarEventTrig,DialogOptionSelected,$option == sepSalvorBarEventTrig,"Call $global.$sepSalvorMission_ref prepActor
ShowPersonVisual true
FireAll sepSalvorBarEventStart",,,
sepSalvorBarEvent1,sepSalvorBarEventStart,,,"When nearing her, she quickly turns to you, leaving her previous target to slip away into the bar.

""You! Please you have to help me.""","sepSavlorBarEvent2:""What's wrong?""
sepSavlorBarEventLeave:Leave",
sepSalvorBarEventLeave,DialogOptionSelected,$option == sepSalvorBarEventLeave,,"""I'm begging you captain, have you no heart?""",sepSavlorBarEventLeave1:Continue,
sepSalvorBarEventLeave1,DialogOptionSelected,$option == sepSalvorBarEventLeave1,"EndConversation DO_NOT_FIRE
BarCMD returnFromEvent false",,,
sepSalvorBarEvent2,DialogOptionSelected,$option == sepSalvorBarEvent2,,"""My husband is missing, he was supposed to return two weeks ago, but I haven't heard from him at all."" 

""You're a captain right, you have a ship? Please $playerSirOrMadam, I've asked everyone else, can you go out and look for him?""","sepSavlorBarEvent5:""Give me the details.""
sepSavlorBarEvent3:""Antimatter isn't free, what's the pay?""
sepSavlorBarEventLeave:""Sorry, I can't help you. (leave)""",
sepSalvorBarEvent3,DialogOptionSelected,$option == sepSalvorBarEvent3,"$player.ethosMercenary++
SetTextHighlights ""5000""","""Oh, yes... um.""

""I have 5000 credits, that's all of our savings.""","sepSavlorBarEvent5:""Give me the details.""
sepSavlorBarEvent4:""That's... not very much.""
sepSavlorBarEventLeave:""Sorry, I can't help you. (leave)""",
sepSalvorBarEvent4,DialogOptionSelected,$option == sepSalvorBarEvent4,SetEnabled sepSavlorBarEvent4 false,"""I'm sorry, I know it isn't much, but that's all we have.""",,
sepSalvorBarEvent5,DialogOptionSelected,$option == sepSalvorBarEvent5,"EndConversation DO_NOT_FIRE
BarCMD returnFromEvent false",,,
sepSalvorBarEvent6,DialogOptionSelected,$option == sepSalvorBarEvent6,,,,
sepSalvorBarEvent7,DialogOptionSelected,$option == sepSalvorBarEvent7,,,,
,,,,,,
drgROALABarEvent,AddBarEvents,"$option == marketVisitBar
!$nex_randomSector
$global.daysSinceStart > 90
!$global.drgROALA_complete
$faction.id == contractor_duskgroup
$hasMarket
RepGTE contractor_duskgroup FRIENDLY","AddBarEvent drgROALABarEventTrig ""Talk to the scientist with the TriPads"" ""A DRG scientist sitting at a table with multiple Tri-pads gestures to you.""",,,
drgROALABarEventDev,AddBarEvents,"$option == marketVisitBar
!$nex_randomSector
!$global.drgROALA_complete
$faction.id == contractor_duskgroup
$hasMarket
$global.isDevMode","AddBarEvent drgROALABarEventTrig ""Talk to the scientist with the TriPads (dev)"" ""A DRG scientist sitting at a table with multiple Tri-pads gestures to you."" ""h""",,,
drgROALABarEventLeave,DialogOptionSelected,$option == drgROALABarEventLeave,"EndConversation DO_NOT_FIRE
BarCMD returnFromEvent false",,,
drgROALABarEventLeaveb,DialogOptionSelected,$option == drgROALABarEventLeaveb,,"""Disappointing, I hope you will reconsider soon... before another takes your place, $playerSirOrMadam."" The $manOrWoman waves you off, returning to $hisOrHer datapads.",drgROALABarEventLeave:Continue,
drgROALABarEvent1,DialogOptionSelected,$option == drgROALABarEventTrig,"BeginMission ""drgROALA"" false
Call $global.drgROALA_ref updateStage
DrgROALAMissionCMD prep
ShowPersonVisual true","""Ah, hello $playerName! Just the kind of person I was hoping to find.""","drgROALABarEvent2:""What can I help you with?""
drgROALABarEventLeave:""Excuse me for a moment."" (leave)",
drgROALABarEvent2,DialogOptionSelected,$option == drgROALABarEvent2,,"The $manOrWoman leans in, lowering $hisOrHer voice, ""I am head of a acquisitions project, a very important and possibly prestigious one.""

""I'll spare you the scientific details. In short, my team has located a probable DRG Ark vessel, from before the collapse!""","drgROALABarEvent3a:""Sounds valuable.""
drgROALABarEvent3b:""Sounds interesting.""
drgROALABarEvent3c:""Is that so?""",
drgROALABarEvent3Money,DialogOptionSelected,$option == drgROALABarEvent3a,"$player.ethosMercenary++
FireAll drgROALABarEvent4","""And rest assured captain, you will get your share, provided you lend me your fleet for a time.""",,
drgROALABarEvent3Sci,DialogOptionSelected,$option == drgROALABarEvent3b,"$player.ethosKnowledge++
FireAll drgROALABarEvent4","""Not just interesting, astounding! Possibly even revolutionary!"" $HeOrShe says a bit too loudly before quieting again, ""Possibly...""",,
drgROALABarEvent3Neu,DialogOptionSelected,$option == drgROALABarEvent3c,"$player.ethosKnowledge++
FireAll drgROALABarEvent4","""Yes!"" $HeOrShe says, just a little bit defensively.

""You have no idea how long worked on this, how many bits of information I had to scour through,"" $personLastName stops to collect $himOrHerself.",,
drgROALABarEvent4,drgROALABarEvent4,,,"""I just need two small things from you.""","drgROALABarEvent5:""And what would these 'small things' be, exactly?""",
drgROALABarEvent5,DialogOptionSelected,$option == drgROALABarEvent5,"SetTextHighlights ""100 crew""","""First, my team will need transport to the Ark's location, as well as standard care. Food, beds, et cetera... for about 100 crew in total.""

$HeOrShe catches your slight frown, ""Don't worry, they are the spacer types, mostly. Have them work on you ships too, if you want. Think of it as 'paying their way', as it were.""","drgROALABarEvent6:""And the second?""",
drgROALABarEvent6,DialogOptionSelected,$option == drgROALABarEvent6,,"""Second, and more importantly, we need to acquire specialized heavy equipment for the operation. Or rather, you need to acquire said equipment, as the Research Group does not have any on hand.""",drgROALABarEvent7:Continue,
drgROALABarEvent7,DialogOptionSelected,$option == drgROALABarEvent7,"SetTextHighlights ""100 cargo""","The scientist goes on in detail for a time, about the needed gear for $hisOrHer special project, while adding in bits about how each will aid the project, becoming accolades to $hisOrHer name.

""...and that should be everything needed, by my estimations it should fit in about 100 cargo pods of space.""","drgROALABarEvent8:""Do you know where I can get this gear?""",
drgROALABarEvent8,DialogOptionSelected,$option == drgROALABarEvent8,,"$HeOrShe pulls up a data sheet filled with annotations, ""These are some potential sources...""",drgROALABarEvent9:Continue,
drgROALABarEvent9,DialogOptionSelected,$option == drgROALABarEvent9,"SetTextHighlights ""Tritachyon""","""Tritachyon would be the obvious choice, with the caveat that they must not learn what we are actually doing, lest this turn into a race.""",drgROALABarEvent10:Continue,
drgROALABarEvent10,DialogOptionSelected,$option == drgROALABarEvent10,"SetTextHighlights ""Luddic Church""","""Alternatively, I have good sources that the Luddic Church occasionally confiscates and temporarily stores such items. You could play into their childish ways, and say you will dispose, or use them for Ludd's glory, or any other words that make them agree.""",drgROALABarEvent11:Continue,
