id,type,text1,text2,text3,text4,text5,notes
sep_spoofjammer,SHIP_SYSTEM,"Redirects all power to the heavy jamming array, creating false radar and thermal signatures on enemy scopes, distracting and drawing fire from their weapons.",Defensive,Generates decoys to distract enemies.,,"Creates up to {{three}} decoys per enemy ship in range, not including fighters. Has a base range of {{2200u}}.",
drg_seraph,SHIP,[todo],,,,,
drg_observer,SHIP,"Hybrid science and combat vessel, equipped with a vast array of computation and ai sub-systems. Although not suited to trading direct blows, Observer-class vessels are peerless in tactical fleet support.",,,,,
drg_amp,SHIP,"Experimental phase hull, serving as a test bed for the Dusk Research Groups attempt to create a linear phase coil.",,,,,
drg_manta,SHIP,"General purpose combat hull, made to round out DRG's light fleets.",,,,,
drg_boltzman,SHIP,Advanced escort and support destroyer equipped with an experimental disabling system.,,,,,
drg_hydra,SHIP,"""Sir, one target moving in. Correction, two targets... Three, Four. Sir, they're coming out of nowhere! Seven now, what are your orders captain?""",,,,,
drg_glacier,SHIP,"Pinnacle of the Dusk Research Group's cryogenic research, the Glacier-class is fast and dangerous, capable of freezing and shattering any vessel that lowers it's guard. Its rarity combined with its main armament have also made Glacier vessels just as much a psychological weapon as a physical one. The prospect of being frozen alive is more than enough to cause spacers to turn tail and burn, perhaps save for the most disciplined Hegemony crewmen.",,,,,
drg_shard,SHIP,Stealth courier vessel able to transport secret and encrypted information that someone wouldn't risk broadcasting over hyperwave networks.,,,,,
drg_northstar_fighter,SHIP,"Iconic Separatist fighter, refitted and repainted for Dusk Group service. Weapons have been swapped with energy types, the co-pilot has been replaced with a sub-ai (unverified) processor, and the reactor has been amped up for more speed.",,,,,
drg_entanglement,SHIP_SYSTEM,Generates an ethereal clone of the ship using a unusual form of quantum entanglement.,Special,Generates an ethereal clone of the ship using a unusual form of quantum entanglement.,,"Clone must stay within approximately {{2000}} su, or it will self-destruct and cause {{piercing emp damage}} to the parent.

If the clones flux level exceeds {{50%}}, it will increase flux dissipation by {{150}}, but also start generating arcs to the parent that cause {{emp damage}}.",
drg_cryogenicdischarge,SHIP_SYSTEM,Discharges a number of cryogenic motes that can interfere with missiles and inflict the Cryogenic Freeze status effect.,Special,Discharges a number of cryogenic motes that can interfere with missiles and inflict the Cryogenic Freeze status effect.,,"A mote that impacts a ship will inflict the {{Cryogenic Freeze}} effect, or if the ship is already affected, will extend the duration of the freeze.",
drg_entropic_lash,SHIP_SYSTEM,"Strikes ships with destabilizing arcs, inducing malfunctions in weapon and engine systems.",Offensive,"Strikes ships with destabilizing arcs, inducing malfunctions in weapon and engine systems.",,Targets are afflicted with {{10 seconds}} of {{Entropic Instability}}.,
drg_cryobeam,WEAPON,"""The board might be satisfied with these results, but I am not. Why in Ludd's name do we need an entire cruiser to power the damn harmonizer. Those samples from the [REDACTED: INFOSEC VIOLATION] don't need anything close. Call the Lambda team, I want answers this week.""","- Project Glacier team lead, review briefing.",,,,
drg_3pc,WEAPON,"The Particle Plasma Projector Cannon, frequently abbreviated to 3PC, fires a super-heated hydron mass capable of dealing heavy damage.

Dual plasma chambers, heavy capacitors, and a large heatsink allow the weapon to be fired in burst, giving rise to its characteristic 'double-tap' report. An astute captain knows well to back off when a 3PC starts flaring, as many vessels are unable to handle that much damage in short order.

As it currently exists, the 3PC series stands at the end of a long chain of research to create efficient plasma weaponry. While strictly speaking it has lower continuous damage than other projectile weapons in the same size category, 3PC's more than make up for it, as they generally are longer ranged and less flux intensive to operate.",,,,,
drg_3pcm,WEAPON,"A miniaturized version of the larger model,  the ""Particle Plasma Projector Cannon - Mini"" offers similar performance in a smaller package.

As is often the case, many features had to be cut during the downsizing process, most notably is the removal of the dual plasma chamber, meaning the 3PC-M cannot be fired in burst. Despite this negative, the 'Mini maintains much of its statistical profile, and retains both long range and high efficiency when firing.

As it currently exists, the 3PC series stands at the end of a long chain of research to create efficient plasma weaponry. While strictly speaking it has lower continuous damage than other projectile weapons in the same size category, 3PC's more than make up for it, as they generally are longer ranged and less flux intensive to operate.",,,,,
drg_seraphmain,WEAPON,"""... and also woe, for the shadows shall pierce even through man's own soul; the Sword of Moloch shall rise and fall against him.""","- Ludd's Apocrypha, Prophecies 2:35",,,,
drg_electrocat,WEAPON,"This weapon utilizes electricity to melt metal into molten slag, which is then fired out a muzzle port via magnetic forces. The required quality of ammo is virtually nil, allowing the Arc Catalyzer to be mounted anywhere electricity and metal are available.",,,,,
drg_cascade,WEAPON,"A pulsed laser with dual lenses and a large capacitor bank, able to blast away armor and hull with great efficiency. However the high power draw prohibits continuous fire, and the low frequency beam may struggle against any reasonably strong shield system.",,,,,
drg_plasmacaster,WEAPON,"A lightweight plasma generator that uses high voltage magnetic lenses to create slow moving, self-contained plasma fields. The same lenses can be use to gently shift the plasma ball in flight, allowing for basic target tracking ability. ",,,,,
drg_needle_small,WEAPON,"An unusual weapon that fires enormous crystals made of exotic matter that explode violently after an impact. Further more, multiple shards discharging near each other can result in a feedback loop, causing even more destruction. The mechanics of why this happens is closely guarded secret by the DRG, as well as to why the projectiles are capable of tracking targets.",,,,,
drg_needle_med,WEAPON,"An unusual weapon that fires enormous crystals made of exotic matter that explode violently after an impact. Further more, multiple shards discharging near each other can result in a feedback loop, causing even more destruction. The mechanics of why this happens is closely guarded secret by the DRG, as well as to why the projectiles are capable of tracking targets.",,,,,
drg_needle_big,WEAPON,"An unusual weapon that fires enormous crystals made of exotic matter that explode violently after an impact. Further more, multiple shards discharging near each other can result in a feedback loop, causing even more destruction. The mechanics of why this happens is closely guarded secret by the DRG, as well as to why the projectiles are capable of tracking targets.",,,,,
drg_thunder,WEAPON,,,,,,
drg_demonstar,WEAPON,"A heavy kinetic accelerator with a long charge time and burst fire. The coils are charged by cycling and discharging plasma, and while inefficient, it allows for a larger burst. The waste plasma is ejected forward, becoming a secondary, though weak, source of damage.",,,,,
drg_dazzler,WEAPON,"High energy electron blaster that delivers excellent damage at short range, albeit with less efficiency than other weapons. Much of the energy is lost as heat in the primary amplifier, which can cause excessive bloom during sustained firing.",,,,,
drg_psi_core,RESOURCE,"A unique psi-type AI core, housing one entity calling itself 'Octarine Intangible'. Likely capable of excelling at any task but not necessarily willing to do so. The AI within refuses to engage in colony management or any other activity that involves it being far away, and insists that it be kept with you and your fleet.

",,,,,
drg_crystals,RESOURCE,"Exotic crystals formed on so called 'red ice' planets. Cathricite is inherently toxic to humans, and more importantly, exhibits bizarre reactions to various forms of energy. The potential for use in weapons research and their poisonous nature have lead to them being banned in many jurisdictions.",,,,,
nanite_corrupter,WEAPON,"Fires a heavy penetrator that pierces a ships hull and delivers nanites via the attached conduit. Extremely dangerous should it successfully latch on, and every effort should be made to prevent or break the connection. It can be broken by either moving far enough away to snap the conduit, or disabling the weapon with concentrated fire.",,,,,
